"grid_cell_NE","DEM_val","roads_val","NLCD_val","NLCD_label"
192,1194.46704101562,16.1987438201904,5,"forest"
193,1098.39147949219,15.2970943450928,5,"forest"
194,996.344909667969,11.5093383789062,5,"forest"
195,828.843444824219,18.0244064331055,5,"forest"
196,853.289489746094,22.9092826843262,5,"forest"
197,1012.48785400391,8.66498851776123,5,"forest"
198,1119.33337402344,12.8257761001587,5,"forest"
199,1197.00671386719,7.29861640930176,5,"forest"
200,1189.61437988281,14.2308568954468,5,"forest"
201,1118.31970214844,32.0950546264648,5,"forest"
202,996.803649902344,23.7411804199219,5,"forest"
203,891.506713867188,25.7514114379883,5,"forest"
204,1654.36791992188,0,5,"forest"
205,1492.5341796875,12.9099683761597,5,"forest"
206,1436.27893066406,17.0690135955811,5,"forest"
207,1409.68322753906,9.58446311950684,5,"forest"
208,1259.85217285156,5.17679691314697,5,"forest"
209,1167.88684082031,33.8218803405762,5,"forest"
210,941.072082519531,8.28860092163086,5,"forest"
211,543.547241210938,25.753999710083,1,"water"
212,613.087524414062,30.7529106140137,5,"forest"
213,755.229736328125,37.3260307312012,5,"forest"
214,721.239624023438,18.959981918335,5,"forest"
215,839.028137207031,9.24662399291992,5,"forest"
216,1011.79248046875,12.2013397216797,5,"forest"
217,923.92333984375,18.7826080322266,5,"forest"
218,982.79638671875,13.8247871398926,5,"forest"
219,1056.77355957031,13.4749116897583,5,"forest"
220,1129.623046875,26.5306911468506,5,"forest"
221,1116.31408691406,35.7597770690918,5,"forest"
222,1164.01831054688,12.7743873596191,5,"forest"
223,1210.14306640625,0.37552073597908,5,"forest"
224,943.196594238281,4.19778108596802,5,"forest"
225,813.372314453125,30.3952388763428,5,"forest"
226,911.613952636719,21.9914455413818,5,"forest"
227,992.254821777344,15.7852344512939,5,"forest"
228,1166.84167480469,20.9013385772705,5,"forest"
229,1200.94934082031,1.60659563541412,5,"forest"
230,1056.58032226562,19.5249423980713,5,"forest"
231,957.691772460938,34.9460716247559,5,"forest"
